"package_name","package_version","package_description","dependencies"
"golang-github-nrdcg-desec-devel","0.6.0","Go library for accessing the deSEC API.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/nrdcg/desec Fedora Project","go-filesystem, golang-github-hashicorp-retryablehttp-devel"
"golang-github-planetscale-pargzip-devel","","",""
"golang-github-segmentio-ksuid","1.0.4"," K-Sortable Globally Unique IDs. Fedora Project","glibc"
"golang-github-shellcode33-vm-detection","0"," Linux and Windows VMs evasion fully written in Go. Fedora Project","glibc"
"golang-github-syndtr-gocapability-devel","0","Utilities for manipulating POSIX capabilities in Go.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/syndtr/gocapability Fedora Project","go-filesystem"
"golang-github-theupdateframework-notary-devel","0.7.0","The Notary project comprises a server and a client for running and interacting with trusted collections. See the service architecture documentation for more information.  Notary aims to make the internet more secure by making it easy for people to publish and verify content. We often rely on TLS to secure our communications with a web server, which is inherently flawed, as any compromise of the server enables malicious content to be substituted for the legitimate content.  With Notary, publishers can sign their content offline using keys kept highly secure. Once the publisher is ready to make the content available, they can push their signed trusted collection to a Notary Server.  Consumers, having acquired the publisher's public key through a secure channel, can then communicate with any Notary server or (insecure) mirror, relying only on the publisher's key to determine the validity and integrity of the received content.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/theupdateframework/notary Fedora Project","go-filesystem, golang-github-bugsnag-devel, golang-github-distribution, golang-github-docker-connections-devel, golang-github-docker-go-devel, golang-github-dvsekhvalnov-jose2go-devel, golang-github-gorilla-mux-devel, golang-github-jinzhu-gorm-devel, golang-github-lib-pq-devel, golang-github-prometheus-client-devel, golang-github-protobuf-devel, golang-github-shopify-logrus-bugsnag-devel, golang-github-sirupsen-logrus-devel, golang-github-spf13-cobra-devel, golang-github-spf13-viper-devel, golang-github-sql-driver-mysql-devel, golang-github-stretchr-testify-devel, golang-google-grpc-devel, golang-gopkg-rethinkdb, golang-x-crypto-devel, golang-x-net-devel, golang-x-sys-devel, golang-x-term-devel"
"golang-github-youmark-pkcs8-devel","1.2","Go package implementing functions to parse and convert private keys in PKCS#8 format, as defined in RFC5208 and RFC5958.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/youmark/pkcs8 Fedora Project","go-filesystem, golang-x-crypto-devel"
"golang-github-zeebo-xxh3-devel","1.0.2","XXH3 algorithm in Go.  This package contains the source code needed for building packages that reference the following Go import paths: – github.com/zeebo/xxh3 Fedora Project","compat-golang-github-klauspost-cpuid2-devel, go-filesystem, golang-github-mmcloughlin-avo-devel"
"golang-gopkg-jcmturner-goidentity-2-devel","2.0.0","Standard interface for holding authenticated identities and their attributes.  This package contains the source code needed for building packages that reference the following Go import paths: – gopkg.in/jcmturner/goidentity.v2 Fedora Project","go-filesystem, golang-github-hashicorp-uuid-devel"
"golang-x-crypto-devel","0.31.0","Go supplementary cryptography libraries.  This package contains the source code needed for building packages that reference the following Go import paths: – golang.org/x/crypto Fedora Project","go-filesystem, golang-x-net-devel, golang-x-term-devel"
"golang-x-sync-devel","0.7.0","This package provides Go concurrency primitives in addition to the ones provided by the language and ""sync"" and ""sync/atomic"" packages.  This package contains the source code needed for building packages that reference the following Go import paths: – golang.org/x/sync Fedora Project","go-filesystem"
"golang-x-xerrors-devel","0","This package holds the transition packages for the new Go 1.13 error values. See golang.org/design/29934-error-values.  This package contains the source code needed for building packages that reference the following Go import paths: – golang.org/x/xerrors Fedora Project","go-filesystem"
"google-noto-serif-sinhala-vf-fonts","20240701","Noto fonts aims to remove tofu from web by providing fonts for all Unicode supported scripts. Its design goal is to achieve visual harmonization between multiple scripts. Noto family supports almost all scripts available in Unicode. Noto Serif Sinhala variable font. Fedora Project","fonts-filesystem, google-noto-fonts-common"
"google-noto-serif-tibetan-fonts","20240701","Noto fonts aims to remove tofu from web by providing fonts for all Unicode supported scripts. Its design goal is to achieve visual harmonization between multiple scripts. Noto family supports almost all scripts available in Unicode. Noto Serif Tibetan font. Fedora Project","fonts-filesystem, google-noto-fonts-common"
"grib_api","1.27.0","The ECMWF GRIB API is an application program interface accessible from C and FORTRAN programs developed for encoding and decoding WMO FM-92 GRIB edition 1 and edition 2 messages. A useful set of command line tools is also provided to give quick access to grib messages. Fedora Project","bash, glibc, jasper-libs, libgcc, libgfortran, libpng, netcdf"
"grub2-efi-x64","2.12"," The GRand Unified Bootloader (GRUB) is a highly configurable and customizable bootloader with modular architecture.  It supports a rich variety of kernel formats, file systems, computer architectures and hardware devices.  This subpackage provides support for efi-x64 systems. Fedora Project","efi-filesystem, grub2-common, grub2-tools, grub2-tools-minimal"
"guile","","",""
"hashid","3.1.4","Identify the different types of hashes used to encrypt data and especially passwords. hashID is a tool which supports the identification of over 220 unique hash types using regular expressions.  It is able to identify a single hash, parse a file or read multiple files in a directory and identify the hashes within them. Fedora Project","python3"
"hiprand","6.2.0","hipRAND is a RAND marshalling library, with multiple supported backends. It sits between the application and the backend RAND library, marshalling inputs into the backend and results back to the application. hipRAND exports an interface that does not require the client to change, regardless of the chosen backend. Currently, hipRAND supports either rocRAND or cuRAND. Fedora Project","glibc, libstdc++, rocrand, rocrand-gfx1100, rocrand-gfx1103, rocrand-gfx90a, rocrand-gfx942"
"hiprand-gfx90a","6.2.0","hiprand for MI200 Fedora Project","glibc, libstdc++, rocrand, rocrand-gfx1100, rocrand-gfx1103, rocrand-gfx90a, rocrand-gfx942"
"iaxclient-devel","2.1","The iaxclient-devel package contains libraries and header files for developing applications that use iaxclient. Fedora Project","glibc, iaxclient, libogg, libogg-devel, liboggz, libtheora, libtheora-devel, libvidcap-devel, pkgconf-pkg-config, portaudio-devel, sdl12-compat, speex-devel"
"imapsync","2.229","imapsync is a tool for facilitating incremental recursive IMAP transfers from one mailbox to another. It is useful for mailbox migration, and reduces the amount of data transferred by only copying messages that are not present on both servers. Read, unread, and deleted flags are preserved, and the process can be stopped and resumed. The original messages can optionally be deleted after a successful transfer. Fedora Project","perl-Data-Uniqid, perl-Digest-HMAC, perl-Digest-MD5, perl-Encode-IMAPUTF7, perl-English, perl-File-Copy-Recursive, perl-File-Path, perl-File-Tail, perl-IO-Compress, perl-IO-Socket-SSL, perl-IO-Tee, perl-JSON-WebToken, perl-Mail-IMAPClient, perl-NTLM, perl-PathTools, perl-Pod-Usage, perl-Proc-ProcessTable, perl-Readonly, perl-Regexp-Common, perl-Sys-MemInfo, perl-TermReadKey, perl-Test-MockObject, perl-Test-Pod, perl-Test-Simple, perl-Time-HiRes, perl-URI, perl-Unicode-String, perl-interpreter, procps-ng"
"ipv6calc-mod_ipv6calc","4.2.1","mod_ipv6calc contains an Apache module and a default configuration file.  Features: - store anonymized IPv4/v6 address in environment variable - store CountryCode of IPv4/v6 address in environment variable (environment variables can be used for custom log format)  Check/adjust /etc/httpd/conf.d/ipv6calc.conf By default the module is disabled. Fedora Project","glibc, httpd, ipv6calc, libdb, openssl-libs, perl-POSIX, perl-interpreter, perl-libs"
"isa-l-devel","2.31.0","Collection of low-level functions used in storage applications. Contains fast erasure codes that implement a general Reed-Solomon type encoding for blocks of data that helps protect against erasure of whole blocks. The general ISA-L library contains an expanded set of functions used for data protection, hashing, encryption, etc.  This package contains the development files needed to build against the shared library. Fedora Project","isa-l, pkgconf-pkg-config"
"jack-mixer","14","jack_mixer is an audio mixer for JACK with a look similar to its hardware counterparts. Many features are available, here is a short list:  - Mix any number of input channels (mono or stereo). - Control balance and faders with MIDI commands. - Handle session management with LASH. - Create as many outputs as necessary. - Quickly monitor inputs (PFL) and outputs. Fedora Project","glib2, glibc, hicolor-icon-theme, jack-audio-connection-kit, pipewire-jack-audio-connection-kit-libs, python3"
"java-11-openjdk-portable-devel","11.0.24.0.8","The OpenJDK 11 development tools - portable edition. Fedora Project",""
"java-21-openjdk","21.0.5.0.11","The OpenJDK 21 runtime environment. Fedora Project","bash, fontconfig, glibc, java, libX11, libXcomposite, libXext, libXi, libXrender, libXtst, xorg-x11-fonts-Type1"
"java-21-openjdk-portable-sources","21.0.4.0.7","The OpenJDK 21 full patched sources of portable JDK to build, attach to debuggers or for debuginfo Fedora Project",""
"java-latest-openjdk-devel","23.0.1.0.11","The OpenJDK 23 development tools. Fedora Project","alternatives, bash, glibc, java-latest-openjdk"
"json-c-devel","0.17","This package contains libraries and header files for developing applications that use json-c. Fedora Project","cmake-filesystem, json-c, pkgconf-pkg-config"
"kaidan","0.10.1","Kaidan is a simple, user-friendly and modern chat client. It uses the open communication protocol XMPP (Jabber). The user interface makes use of Kirigami and QtQuick, while the back-end of Kaidan is entirely written in C++ using Qt and the Qt-based XMPP library QXmpp. Fedora Project","glibc, hicolor-icon-theme, kf5-kcoreaddons, kf5-kio-core-libs, kf5-kio-file-widgets, kf5-kio-widgets-libs, kf5-kirigami2, kf5-kirigami2-addons, kf5-kitemviews, kf5-knotifications, kf5-kquickcharts, kquickimageeditor-qt5, libgcc, libicu, libstdc++, qt5-qtbase, qt5-qtbase-gui, qt5-qtdeclarative, qt5-qtgraphicaleffects, qt5-qtlocation, qt5-qtmultimedia, qt5-qtquickcontrols2, qt5-qtwebchannel, qt5-qtwebengine, qxmpp-qt5, zxing-cpp"
"kalendar","","",""
"kdsoap6","2.2.0"," KDSoap can be used to create client applications for web services and also provides the means to create web services without the need for any further component such as a dedicated web server. Fedora Project","glibc, libgcc, libstdc++, qt6-qtbase"
"kea-libs","2.6.1","This package contains shared libraries used by Kea DHCP server. Fedora Project","boost-system, glibc, libgcc, libpq, libstdc++, log4cplus, mariadb-connector-c, openssl-libs"
"keyrings-filesystem","1","This package provides the directory to store keyrings. Fedora Project","filesystem, rpm"
"kf5-kwallet-devel","5.116.0","The kf5-kwallet-devel package contains libraries and header files for developing applications that use kf5-kwallet. Fedora Project","cmake-filesystem, kf5-kwallet-libs, qt5-qtbase-devel"
"kqoauth-qt5","0.98","kQOAuth is a OAuth 1.0 library written for Qt in C++. The goals for the library have been to provide easy integration to existing Qt5 applications utilizing Qt5 signals describing the OAuth process, and to provide a convenient approach to OAuth authentication.  kQOAuth has support for retrieving the user authorization from the service provider's website. kQOAuth will open the user's web browser to the authorization page, give a local URL as the callback URL and setup a HTTP server on this address to listen for the reply from the service and then process it. Fedora Project","glibc, libgcc, libstdc++, openssl-libs, qt5-qtbase, qt5-qtbase-gui"
"ktp-desktop-applets","23.04.3","KDE Telepathy desktop applets, including: * contacts * presence Fedora Project","glibc, kf5-kwindowsystem, libstdc++, qt5-qtbase, qt5-qtbase-gui, qt5-qtdeclarative"
"L-function","2.0.5","C++ L-function class library and command line interface. Fedora Project","glibc, libgcc, libstdc++, pari"
"libao-devel","1.2.0","The libao-devel package contains libraries and header files for developing applications that use libao. Fedora Project","libao, pkgconf-pkg-config"
"libavutil-free","7.0.2","The libavutil library is a utility library to aid portable multimedia programming. It contains safe portable string functions, random number generators, data structures, additional mathematics functions, cryptography and multimedia related functionality (like enumerations for pixel and sample formats). Fedora Project","OpenCL-ICD-Loader, glibc, libX11, libdrm, libgcrypt, libva, libvdpau, ocl-icd"
"libbraiding","1.3.1","This library allows various computations on braid groups, such as normal forms. Fedora Project","glibc, libgcc, libstdc++"
"libbroker","6.0.4","The Broker library implements Zeek's high-level communication patterns. Fedora Project","glibc, libgcc, libstdc++, openssl-libs"
"libcamera-devel","0.3.2","Files for development with libcamera. Fedora Project","libcamera, libcamera-devel, pkgconf-pkg-config"
"libcap-ng-python3","0.8.5","The libcap-ng-python3 package contains the bindings so that libcap-ng and can be used by python3 applications. Fedora Project","glibc, libcap-ng, python3"
"libcephfs2","19.2.0","Ceph is a distributed network file system designed to provide excellent performance, reliability, and scalability. This is a shared library allowing applications to access a Ceph distributed file system via a POSIX-like interface. Fedora Project","glibc, libgcc, librados2, libstdc++"
"libecpint-devel","1.0.7","This package contains development headers and libraries for libecpint. Fedora Project","cmake-filesystem, libcerf-devel, libecpint"
"libgda","6.0.0","libgda is a library that eases the task of writing Gtk3-based database programs. Fedora Project","glib2, glibc, libsecret, libxml2, libxslt, openldap, sqlite-libs"
"libgfapi0","11.1","GlusterFS is a distributed file-system capable of scaling to several petabytes. It aggregates various storage bricks over TCP/IP interconnect into one large parallel network filesystem. GlusterFS is one of the most sophisticated file systems in terms of features and extensibility. It borrows a powerful concept called Translators from GNU Hurd kernel. Much of the code in GlusterFS is in user space and easily manageable.  This package provides the glusterfs libgfapi library. Fedora Project","glibc, glusterfs-client-xlators, libacl, libgfrpc0, libgfxdr0, libglusterfs0, libtirpc, libuuid, openssl-libs, userspace-rcu, zlib-ng-compat"
"libgpg-error","1.50","This is a library that defines common error values for all GnuPG components.  Among these are GPG, GPGSM, GPGME, GPG-Agent, libgcrypt, pinentry, SmartCard Daemon and possibly more in the future. Fedora Project","glibc"
"libgpg-error-devel","1.50","This is a library that defines common error values for all GnuPG components.  Among these are GPG, GPGSM, GPGME, GPG-Agent, libgcrypt, pinentry, SmartCard Daemon and possibly more in the future. This package contains files necessary to develop applications using libgpg-error. Fedora Project","bash, glibc, libgpg-error, pkgconf-pkg-config"
"libguac-devel","1.5.5","The libguac-devel package contains libraries and header files for developing applications that use guacamole-server. Fedora Project","libguac"
"libguestfs-inspect-icons","1.55.2","libguestfs-inspect-icons is a metapackage that pulls in additional dependencies required by libguestfs to pull icons out of non-Linux guests.  Install this package if you want libguestfs to be able to inspect non-Linux guests and display icons from them.  The only reason this is a separate package is to avoid core libguestfs having to depend on Perl.  See https://bugzilla.redhat.com/1194158 Fedora Project","icoutils, libguestfs, netpbm-progs"
"libkcapi-hmaccalc","1.5.0","Provides drop-in replacements for sha*hmac tools (from package hmaccalc) using libkcapi. Fedora Project","libkcapi-hasher"
"libksane-qt6","24.08.2","Qt6 library providing logic to interface scanners. Fedora Project","glibc, kf6-ki18n, kf6-ktextwidgets, kf6-kwallet-libs, kf6-kwidgetsaddons, ksanecore, ksanecore-qt6, libksane-common, libstdc++, qt6-qtbase, qt6-qtbase-gui"
"liblc3-utils","1.1.1","Uitlities for command line use of and testing the liblc3 library. Fedora Project","glibc, liblc3"
"libmcpp-devel","2.7.2","Development package for libmcpp. Fedora Project","libmcpp"
"liboauth2-devel","2.0.0","liboauth2 library provides primitives to create OAuth 2.x and OpenID Connect servers and clients. Fedora Project","cjose-devel, jansson-devel, libcurl-devel, liboauth2, openssl-devel, pcre2-devel, pkgconf-pkg-config"
"libomemo","0.8.1","Implements OMEMO (XEP-0384) in plain C.  Input and output are XML strings, so it does not force you to use a certain XML lib. While the actual protocol functions do not depend on any kind of storage, it comes with a basic implementation in SQLite. Fedora Project","glib2, glibc, libgcrypt, mxml, sqlite-libs"
"liboqs","0.10.1","liboqs provides: - a collection of open source implementations of quantum-safe key encapsulation mechanism (KEM) and digital signature algorithms; the full list can be found below - a common API for these algorithms - a test harness and benchmarking routines liboqs is part of the Open Quantum Safe (OQS) project led by Douglas Stebila and Michele Mosca, which aims to develop and integrate into applications quantum-safe cryptography to facilitate deployment and testing in real world contexts. In particular, OQS provides prototype integrations of liboqs into TLS and SSH, through OpenSSL and OpenSSH. Fedora Project","glibc"
"librdkafka","2.4.0","Librdkafka is a C/C++ library implementation of the Apache Kafka protocol, containing both Producer and Consumer support. It was designed with message delivery reliability and high performance in mind, current figures exceed 800000 messages/second for the producer and 3 million messages/second for the consumer. Fedora Project","cyrus-sasl-lib, glibc, libgcc, libstdc++, libzstd, lz4-libs, openssl-libs, zlib-ng-compat"
"libreoffice-langpack-en","24.8.4.2","Provides additional English translations and resources for LibreOffice. Fedora Project","autocorr-en, hunspell-en-US, hyphen-en, libreoffice-core, mythes-en"
"libreswan","4.15","Libreswan is a free implementation of IPsec & IKE for Linux.  IPsec is the Internet Protocol Security and uses strong cryptography to provide both authentication and encryption services.  These services allow you to build secure tunnels through untrusted networks.  Everything passing through the untrusted net is encrypted by the ipsec gateway machine and decrypted by the gateway at the other end of the tunnel.  The resulting tunnel is a virtual private network or VPN.  This package contains the daemons and userland tools for setting up Libreswan.  Libreswan also supports IKEv2 (RFC7296) and Secure Labeling  Libreswan is based on Openswan-2.6.38 which in turn is based on FreeS/WAN-2.04 Fedora Project","audit-libs, bash, coreutils, coreutils-single, glibc, iproute, ldns, libcap-ng, libcurl, libcurl-minimal, libevent, libgcc, libseccomp, libselinux, libxcrypt, logrotate, nspr, nss, nss-softokn, nss-tools, nss-util, openldap, pam-libs, procps-ng, systemd, unbound-libs"
"libretls-devel","3.8.1","The libretls-devel package contains libraries and header files for developing applications that use libtls. Fedora Project","libretls, pkgconf-pkg-config"
"libs3","4.1","This package includes the libs3 shared object library, needed to run applications compiled against libs3, and additionally contains the s3 utility for accessing Amazon S3. Fedora Project","glibc, libcurl, libcurl-minimal, libxml2, openssl-libs"
"libserf-devel","1.3.10","This package contains libraries and header files for developing applications that use libserf. Fedora Project","apr-devel, libserf, openssl-devel, pkgconf-pkg-config"
"libsoplex-doc","7.1.1","API documentation for libsoplex. Fedora Project",""
"libspectrum-devel","1.5.0","Development files for libspectrum. Fedora Project","libgcrypt-devel, libspectrum, pkgconf-pkg-config"
"libtbox-devel","1.7.6","This package contains headers and development files for libtbox. Fedora Project","libtbox, pkgconf-pkg-config"
"libtins","4.5","The library provides a C++ interface for creating tools which need to send, receive and manipulate specially crafted packets. Fedora Project","glibc, libgcc, libpcap, libstdc++, openssl-libs"
"libuuid-devel","2.40.2","This is the universally unique ID development library and headers, part of util-linux.  The libuuid library generates and parses 128-bit universally unique id's (UUID's).  A UUID is an identifier that is unique across both space and time, with respect to the space of all UUIDs.  A UUID can be used for multiple purposes, from tagging objects with an extremely short lifetime, to reliably identifying very persistent objects across a network.  See also the ""uuid-devel"" package, which is a separate implementation. Fedora Project","libuuid, pkgconf-pkg-config"
"litehtml","0.9","litehtml is the lightweight HTML rendering engine with CSS2/CSS3 support. Note that litehtml itself does not draw any text, pictures or other graphics and that litehtml does not depend on any image/draw/font library. Fedora Project","glibc, gumbo-parser, libgcc, libstdc++"
"llvm14-devel","14.0.5","This package contains library and header files needed to develop new native programs that use the LLVM infrastructure. Fedora Project","alternatives, bash, libedit-devel, llvm14, llvm14-libs, llvm14-static"
"llvm-libunwind-static","19.1.5","Static library for LLVM libunwind. Fedora Project",""
"lua-md5","1.3","MD5 offers basic cryptographic facilities for Lua: a hash (digest) function, a pair crypt/decrypt based on MD5 and CFB, and a pair crypt/decrypt based on DES with 56-bit keys. Fedora Project","glibc, lua, lua-libs"
"lynx","2.9.2","Lynx is a text-based Web browser. Lynx does not display any images, but it does support frames, tables, and most other HTML tags. One advantage Lynx has over graphical browsers is speed; Lynx starts and exits quickly and swiftly displays web pages. Fedora Project","bzip2-libs, glibc, libbrotli, libidn2, ncurses-libs, openssl-libs, zlib-ng-compat"
"mediainfo","24.11","MediaInfo CLI (Command Line Interface).  What information can I get from MediaInfo? * General: title, author, director, album, track number, date, duration... * Video: codec, aspect, fps, bitrate... * Audio: codec, sample rate, channels, language, bitrate... * Text: language of subtitle * Chapters: number of chapters, list of chapters  DivX, XviD, H263, H.263, H264, x264, ASP, AVC, iTunes, MPEG-1, MPEG1, MPEG-2, MPEG2, MPEG-4, MPEG4, MP4, M4A, M4V, QuickTime, RealVideo, RealAudio, RA, RM, MSMPEG4v1, MSMPEG4v2, MSMPEG4v3, VOB, DVD, WMA, VMW, ASF, 3GP, 3GPP, 3GP2  What format (container) does MediaInfo support? * Video: MKV, OGM, AVI, DivX, WMV, QuickTime, Real, MPEG-1, MPEG-2, MPEG-4, DVD (VOB) (Codecs: DivX, XviD, MSMPEG4, ASP, H.264, AVC...) * Audio: OGG, MP3, WAV, RA, AC3, DTS, AAC, M4A, AU, AIFF * Subtitles: SRT, SSA, ASS, S-MI Fedora Project","glibc, libgcc, libmediainfo, libstdc++, libzen"
"megatools","1.11.1","Megatools is a collection of programs for accessing Mega service from a command line of your desktop or server.  Megatools allow you to copy individual files as well as entire directory trees to and from the cloud. You can also perform streaming downloads for example to preview videos and audio files, without needing to download the entire file.  You can register an account using a ""megareg"" tool, with the benefit of having true control of your encryption keys.  Megatools are robust and optimized for fast operation - as fast as Mega servers allow. Memory requirements and CPU utilization are kept at minimum. Fedora Project","glib2, glibc, libcurl, libcurl-minimal, libgcc, openssl-libs"
"mingw32-curl","8.9.1","cURL is a tool for getting files from HTTP, FTP, FILE, LDAP, LDAPS, DICT, TELNET and TFTP servers, using any of the supported protocols. cURL is designed to work without user interaction or any kind of interactivity. cURL offers many useful capabilities, like proxy support, user authentication, FTP upload, HTTP post, and file transfer resume.  This is the MinGW cross-compiled Windows library. Fedora Project","bash, mingw32-crt, mingw32-filesystem, mingw32-libgcc, mingw32-libidn2, mingw32-libssh2, mingw32-openssl, mingw32-winpthreads, mingw32-zlib, pkgconf-pkg-config"
"mingw32-libgta","1.2.1","MinGW Windows GTA library. Fedora Project","mingw32-crt, mingw32-filesystem, mingw32-libgcc"
"mingw32-libidn2-static","2.3.7","Static version of the MinGW Windows IDN 2008 library. Fedora Project","mingw32-libidn2"
"mingw32-python3","3.11.11","MinGW Windows python3. Fedora Project","bash, mingw32-bzip2, mingw32-crt, mingw32-expat, mingw32-filesystem, mingw32-libffi, mingw32-libgcc, mingw32-openssl, mingw32-sqlite, mingw32-winpthreads, mingw32-zlib, python-rpm-macros, python3-rpm-generators, python3.11, python3.11-devel"
"mingw32-python3-pip","24.2","MinGW Windows Python3 pip library. Fedora Project","mingw32-crt, mingw32-filesystem, mingw32-python3, python3.11"
"mingw32-qt5-qtbase-devel","5.15.14","Contains the files required to get various Qt tools built which are part of the mingw-qt5-qttools package Fedora Project","mingw32-qt5-qmake, mingw32-qt5-qtbase, mingw64-qt5-qmake"
"mingw32-qt5-qtmultimedia","5.15.14","This package contains the Qt software toolkit for developing cross-platform applications.  This is the Windows version of Qt, for use in conjunction with the Fedora Windows cross-compiler. Fedora Project","mingw32-crt, mingw32-filesystem, mingw32-libgcc, mingw32-libstdc++, mingw32-openal-soft, mingw32-qt5-qtbase, mingw32-qt5-qtdeclarative"
"mingw64-libpsl","0.21.0","libpsl is a C library to handle the Public Suffix List. A ""public suffix"" is a domain name under which Internet users can directly register own names.  Browsers and other web clients can use it to  - Avoid privacy-leaking ""supercookies""; - Avoid privacy-leaking ""super domain"" certificates; - Domain highlighting parts of the domain in a user interface; - Sorting domain lists by site;  Libpsl...  - has built-in PSL data for fast access; - allows to load PSL data from files; - checks if a given domain is a ""public suffix""; - provides immediate cookie domain verification; - finds the longest public part of a given domain; - finds the shortest private part of a given domain; - works with international domains (UTF-8 and IDNA2008 Punycode); - is thread-safe; - handles IDNA2008 UTS#46; Fedora Project","mingw64-crt, mingw64-filesystem, mingw64-libidn2, mingw64-libunistring, mingw64-win-iconv, publicsuffix-list, python3"
"mingw64-python3-certifi","2024.7.4","MinGW Windows Python3 certifi. Fedora Project","mingw64-python3"
"nacl-devel","20110221","Include files and devel library. Fedora Project","nacl"
"NetworkManager-fortisslvpn","1.4.1","This package contains software for integrating VPN capabilities with the Fortinet compatible SSLVPN server with NetworkManager. Fedora Project","NetworkManager, NetworkManager-libnm, bash, dbus-common, glib2, glibc, libgcc, openfortivpn, ppp"
"nss-softokn-freebl-devel","3.107.0","NSS Softoken Cryptographic Module Freebl Library Development Tools This package supports special needs of some PKCS #11 module developers and is otherwise considered private to NSS. As such, the programming interfaces may change and the usual NSS binary compatibility commitments do not apply. Developers should rely only on the officially supported NSS public API. Fedora Project","nss-softokn-freebl"
"nwchem-common","7.2.3"," NWChem aims to provide its users with computational chemistry tools that are scalable both in their ability to treat large scientific computational chemistry problems efficiently, and in their use of available parallel computing resources from high-performance parallel supercomputers to conventional workstation clusters.  Please cite the following reference when publishing results obtained with NWChem: M. Valiev, E.J. Bylaska, N. Govind, K. Kowalski, T.P. Straatsma, H.J.J. van Dam, D. Wang, J. Nieplocha, E. Apra, T.L. Windus, W.A. de Jong, ""NWChem: a comprehensive and scalable open-source solution for large scale molecular simulations"" Comput. Phys. Commun. 181, 1477 (2010)  This package contains the data files. Fedora Project",""
"ocaml-dose3-devel","7.0.0","The ocaml-dose3-devel package contains libraries and signature files for developing applications that use ocaml-dose3. Fedora Project","ocaml, ocaml-base64, ocaml-base64-devel, ocaml-camlbz2, ocaml-camlbz2-devel, ocaml-cudf, ocaml-cudf-devel, ocaml-dose3, ocaml-extlib, ocaml-extlib-devel, ocaml-ocamlgraph, ocaml-ocamlgraph-devel, ocaml-re, ocaml-re-devel, ocaml-runtime, ocaml-zip, ocaml-zip-devel"
"oidc-agent-cli","5.2.3","oidc-agent is a set of tools to manage OpenID Connect tokens and make them easily usable from the command line. These tools follow ssh-agent design, so OIDC tokens can be handled in a similar way as ssh keys. The agent stores multiple configurations and their associated refresh tokens securely.  This tool consists of five programs: - oidc-agent that handles communication with the OIDC provider - oidc-gen that generates config files - oidc-add that loads (and unloads) configuration into the agent - oidc-token that can be used to get access token on the command line - oidc-key-chain that re-uses oidc-agent across logins Fedora Project","bash, cjson, clibs-list, glibc, libcurl, libcurl-minimal, libmicrohttpd, libsodium, oidc-agent-libs, qrencode-libs"
"ongres-scram-client","2.1","This package contains the client for ongres-scram Fedora Project","javapackages-filesystem, ongres-scram"
"opencryptoki-swtok","3.24.0","Opencryptoki implements the PKCS#11 specification v2.20 for a set of cryptographic hardware, such as IBM 4764 and 4765 crypto cards, and the Trusted Platform Module (TPM) chip. Opencryptoki also brings a software token implementation that can be used without any cryptographic hardware. This package brings the software token implementation to use opencryptoki without any specific cryptographic hardware. Fedora Project","glibc, opencryptoki-libs, openldap, openssl-libs"
"opensc","0.26.0","OpenSC provides a set of libraries and utilities to work with smart cards. Its main focus is on cards that support cryptographic operations, and facilitate their use in security applications such as authentication, mail encryption and digital signatures. OpenSC implements the PKCS#11 API so applications supporting this API (such as Mozilla Firefox and Thunderbird) can use it. On the card OpenSC implements the PKCS#15 standard and aims to be compatible with every software/card that does so, too. Fedora Project","glibc, openpace, opensc-libs, openssl-libs, pcsc-lite, pcsc-lite-libs, readline, zlib-ng-compat"
"opensips-tls_mgm","3.5.3","This module provides an interfaces for all the modules that use the TLS protocol. It also implements TLS related functions to use in the routing script, and exports pseudo variables with certificate and TLS parameters. Fedora Project","glibc, opensips, opensips-tls_openssl"
"openvpn-auth-ldap","2.0.4","The OpenVPN Auth-LDAP Plugin implements username/password authentication via LDAP for OpenVPN 2.x. Fedora Project","glibc, libobjc, openldap, openvpn"
"pam_ssh_agent_auth","0.10.4","This package contains a PAM module which can be used to authenticate users using ssh keys stored in a ssh-agent. Through the use of the forwarding of ssh-agent connection it also allows to authenticate with remote ssh-agent instance.  The module is most useful for su and sudo service stacks. Fedora Project","glibc, openssl-libs, pam-libs"
"pari-elldata","20210301","This package contains the optional PARI package elldata, which provides the Elliptic Curve Database of J. E. Cremona Elliptic, which can be queried by ellsearch and ellidentify. Fedora Project",""
"PDAL-libs","2.7.2","The pdal-libs package provides the essential shared libraries for any PDAL client program or interface. You will need to install this package to use PDAL Fedora Project","gdal-libs, glibc, libcurl, libcurl-minimal, libgcc, libgeotiff, libpq, libstdc++, libxml2, libzstd, openssl-libs, proj, zlib-ng-compat"
"pdfcrack","0.14","PDFCrack is a GNU/Linux tool for recovering passwords and content from PDF-files. It is small, command line driven without external dependencies. Fedora Project","glibc"
"pdsh-rcmd-rsh","2.34","Pdsh module for bsd rcmd functionality. Note: This module requires that the pdsh binary be installed setuid root. Fedora Project","glibc, pdsh"
"perl-Alien-m4-tests","0.21","Tests from perl-Alien-m4. Execute them with ""/usr/libexec/perl-Alien-m4/test"". Fedora Project","bash, perl-Alien-Build, perl-Alien-m4, perl-Test-Harness, perl-Test-Simple, perl-interpreter, perl-libs"
